file_name,fine_labels,coarse_labels,fine_label_names,coarse_label_names,image_height,image_width,image_channel,min_pixel,max_pixel
bos_taurus_s_000507.png,19,11,cattle,large_omnivores_and_herbivores,32,32,3,1,255
stegosaurus_s_000125.png,29,15,dinosaur,reptiles,32,32,3,37,255
mcintosh_s_000643.png,0,4,apple,fruit_and_vegetables,32,32,3,23,252
altar_boy_s_001435.png,11,14,boy,people,32,32,3,0,255
cichlid_s_000031.png,1,1,aquarium_fish,fish,32,32,3,15,217
phone_s_002161.png,86,5,telephone,household_electrical_devices,32,32,3,0,255
car_train_s_000043.png,90,18,train,vehicles_1,32,32,3,48,253
beaker_s_000604.png,28,3,cup,food_containers,32,32,3,125,249
fog_s_000397.png,23,10,cloud,large_natural_outdoor_scenes,32,32,3,35,255
rogue_elephant_s_000421.png,31,11,elephant,large_omnivores_and_herbivores,32,32,3,24,255
computer_keyboard_s_000757.png,39,5,keyboard,household_electrical_devices,32,32,3,5,255
willow_tree_s_000645.png,96,17,willow_tree,trees,32,32,3,67,255
sunflower_s_000549.png,82,2,sunflower,flowers,32,32,3,0,243
palace_s_000759.png,17,9,castle,large_man-made_outdoor_things,32,32,3,6,255
adriatic_s_001782.png,71,10,sea,large_natural_outdoor_scenes,32,32,3,15,255
computer_keyboard_s_001277.png,39,5,keyboard,household_electrical_devices,32,32,3,0,250
bike_s_000682.png,8,18,bicycle,vehicles_1,32,32,3,16,227
wolf_pup_s_001323.png,97,8,wolf,large_carnivores,32,32,3,17,244
squirrel_s_002467.png,80,16,squirrel,small_mammals,32,32,3,6,204
sea_s_000678.png,71,10,sea,large_natural_outdoor_scenes,32,32,3,57,232
shrew_s_002233.png,74,16,shrew,small_mammals,32,32,3,5,198
pine_tree_s_000087.png,59,17,pine_tree,trees,32,32,3,0,249
rose_s_000373.png,70,2,rose,flowers,32,32,3,0,199
surveillance_system_s_000769.png,87,5,television,household_electrical_devices,32,32,3,17,255
pine_s_001533.png,59,17,pine_tree,trees,32,32,3,23,255
table_s_000897.png,84,6,table,household_furniture,32,32,3,0,228
opossum_s_001237.png,64,12,possum,medium_mammals,32,32,3,11,255
quercus_alba_s_000257.png,52,17,oak_tree,trees,32,32,3,7,246
leopard_s_000414.png,42,8,leopard,large_carnivores,32,32,3,14,255
possum_s_002195.png,64,12,possum,medium_mammals,32,32,3,0,255
bike_s_000127.png,8,18,bicycle,vehicles_1,32,32,3,9,221
balmoral_castle_s_000361.png,17,9,castle,large_man-made_outdoor_things,32,32,3,26,255
acer_saccharinum_s_000646.png,47,17,maple_tree,trees,32,32,3,10,253
lapin_s_000916.png,65,16,rabbit,small_mammals,32,32,3,0,185
chimp_s_001419.png,21,11,chimpanzee,large_omnivores_and_herbivores,32,32,3,13,254
clock_s_002291.png,22,5,clock,household_electrical_devices,32,32,3,9,249
streetcar_s_000663.png,81,19,streetcar,vehicles_2,32,32,3,2,255
male_child_s_000800.png,11,14,boy,people,32,32,3,70,253
oriental_cockroach_s_000650.png,24,7,cockroach,insects,32,32,3,10,254
breakfast_table_s_001135.png,84,6,table,household_furniture,32,32,3,0,253
coluber_constrictor_s_000067.png,78,15,snake,reptiles,32,32,3,13,250
lobster_s_000034.png,45,13,lobster,non-insect_invertebrates,32,32,3,11,254
mount_s_002852.png,49,10,mountain,large_natural_outdoor_scenes,32,32,3,22,255
wolf_pup_s_001277.png,97,8,wolf,large_carnivores,32,32,3,0,239
areca_s_000244.png,56,17,palm_tree,trees,32,32,3,15,255
skyscraper_s_000180.png,76,9,skyscraper,large_man-made_outdoor_things,32,32,3,17,217
boy_s_001150.png,11,14,boy,people,32,32,3,0,255
train_s_001640.png,90,18,train,vehicles_1,32,32,3,22,255
tractor_s_001723.png,89,19,tractor,vehicles_2,32,32,3,4,251
snake_s_000046.png,78,15,snake,reptiles,32,32,3,0,239
shortfin_mako_s_000172.png,73,1,shark,fish,32,32,3,5,255
butterfly_s_001371.png,14,7,butterfly,insects,32,32,3,3,255
television_s_000158.png,87,5,television,household_electrical_devices,32,32,3,8,255
beer_bottle_s_001063.png,9,3,bottle,food_containers,32,32,3,22,227
adriatic_s_002075.png,71,10,sea,large_natural_outdoor_scenes,32,32,3,55,230
honeybee_s_001911.png,6,7,bee,insects,32,32,3,0,190
red_maple_s_000275.png,47,17,maple_tree,trees,32,32,3,7,255
reclining_chair_s_001157.png,20,6,chair,household_furniture,32,32,3,40,255
black_woman_s_001310.png,98,14,woman,people,32,32,3,27,246
silver_maple_s_001664.png,47,17,maple_tree,trees,32,32,3,18,254
syrian_hamster_s_000340.png,36,16,hamster,small_mammals,32,32,3,21,255
otter_s_000259.png,55,0,otter,aquatic_mammals,32,32,3,18,254
seal_s_001773.png,72,0,seal,aquatic_mammals,32,32,3,21,255
panthera_leo_s_000068.png,43,8,lion,large_carnivores,32,32,3,9,189
morchella_esculenta_s_000159.png,51,4,mushroom,fruit_and_vegetables,32,32,3,24,252
female_child_s_000292.png,35,14,girl,people,32,32,3,11,255
bell_pepper_s_001100.png,83,4,sweet_pepper,fruit_and_vegetables,32,32,3,0,219
forest_s_001702.png,33,10,forest,large_natural_outdoor_scenes,32,32,3,36,253
crocodile_s_002505.png,27,15,crocodile,reptiles,32,32,3,13,193
valencia_orange_s_000087.png,53,4,orange,fruit_and_vegetables,32,32,3,0,255
tulip_s_000253.png,92,2,tulip,flowers,32,32,3,0,255
mus_musculus_s_000005.png,50,16,mouse,small_mammals,32,32,3,19,208
arabian_camel_s_000259.png,15,11,camel,large_omnivores_and_herbivores,32,32,3,20,240
